source_config,condition,target_config,forced_value,relationship_type,file,line,function,code_snippet
-fast,,jpeg_compress_struct.dct_method,,AGGREGATION,,0,,CLI flag -fast sets dct_method
-fast,,jpeg_decompress_struct.desired_number_of_colors,,AGGREGATION,,0,,CLI flag -fast sets desired_number_of_colors
-fast,,jpeg_decompress_struct.dither_mode,,AGGREGATION,,0,,CLI flag -fast sets dither_mode
EOBRUN,> 0,BE,0,DIRECT_OVERRIDE,jcphuff.c,404,emit_eobrun,if (entropy->EOBRUN > 0) {    /* if there is any pending EOBRUN */     temp = entropy->EOBRUN;     nbits = JPEG_NBITS_NONZERO(temp) - 1;     /* safety check: shouldn't happen given limited correction-
a,>= qe,c,e->a,DIRECT_OVERRIDE,jcarith.c,244,arith_encode,"if (e->a >= qe) {       /* If the interval size (qe) for the less probable symbol (LPS)        * is larger than the interval size for the MPS, then exchange        * the two symbols for coding efficie"
a,< qe,c,e->a,DIRECT_OVERRIDE,jcarith.c,257,arith_encode,"if (e->a < qe) {       /* If the interval size (qe) for the less probable symbol (LPS)        * is larger than the interval size for the MPS, then exchange        * the two symbols for coding efficien"
arithmetic,|| t[i].options & TJXOPT_ARITHMETIC,jpeg_compress_struct.arith_code,TRUE,DIRECT_OVERRIDE,turbojpeg.c,2982,,if (this->arithmetic || t[i].options & TJXOPT_ARITHMETIC) {       cinfo->arith_code = TRUE;       cinfo->optimize_coding = FALSE;     }
arithmetic,|| t[i].options & TJXOPT_ARITHMETIC,jpeg_compress_struct.optimize_coding,FALSE,DIRECT_OVERRIDE,turbojpeg.c,2982,,if (this->arithmetic || t[i].options & TJXOPT_ARITHMETIC) {       cinfo->arith_code = TRUE;       cinfo->optimize_coding = FALSE;     }
bits_per_pixel,== 8,get_pixel_rows,get_8bit_row,CASCADE,rdbmp.c,388,preload_image,switch(bits_per_pixel) case 8
bits_per_pixel,== 24,get_pixel_rows,get_24bit_row,CASCADE,rdbmp.c,388,preload_image,switch(bits_per_pixel) case 24
bits_per_pixel,== 32,get_pixel_rows,get_32bit_row,CASCADE,rdbmp.c,388,preload_image,switch(bits_per_pixel) case 32
bits_per_pixel,== 8,get_pixel_rows,get_8bit_row,CASCADE,rdbmp.c,618,start_input_bmp,switch(bits_per_pixel) case 8
bits_per_pixel,== 24,get_pixel_rows,get_24bit_row,CASCADE,rdbmp.c,618,start_input_bmp,switch(bits_per_pixel) case 24
bits_per_pixel,== 32,get_pixel_rows,get_32bit_row,CASCADE,rdbmp.c,618,start_input_bmp,switch(bits_per_pixel) case 32
bits_per_pixel,== 8,jpeg_compress_struct.in_color_space,JCS_EXT_RGB,CASCADE,rdbmp.c,559,start_input_bmp,switch(bits_per_pixel) case 8
bits_per_pixel,== 24,jpeg_compress_struct.in_color_space,JCS_EXT_BGR,CASCADE,rdbmp.c,559,start_input_bmp,switch(bits_per_pixel) case 24
bits_per_pixel,== 32,jpeg_compress_struct.in_color_space,JCS_EXT_BGRA,CASCADE,rdbmp.c,559,start_input_bmp,switch(bits_per_pixel) case 32
bits_per_pixel,== 8,jpeg_compress_struct.input_components,rgb_pixelsize[cinfo->in_color_space],CASCADE,rdbmp.c,559,start_input_bmp,switch(bits_per_pixel) case 8
bits_per_pixel,== 8,jpeg_compress_struct.input_components,1,CASCADE,rdbmp.c,559,start_input_bmp,switch(bits_per_pixel) case 8
bits_per_pixel,== 8,jpeg_compress_struct.input_components,4,CASCADE,rdbmp.c,559,start_input_bmp,switch(bits_per_pixel) case 8
bits_per_pixel,== 24,jpeg_compress_struct.input_components,rgb_pixelsize[cinfo->in_color_space],CASCADE,rdbmp.c,559,start_input_bmp,switch(bits_per_pixel) case 24
bits_per_pixel,== 24,jpeg_compress_struct.input_components,4,CASCADE,rdbmp.c,559,start_input_bmp,switch(bits_per_pixel) case 24
bits_per_pixel,== 32,jpeg_compress_struct.input_components,rgb_pixelsize[cinfo->in_color_space],CASCADE,rdbmp.c,559,start_input_bmp,switch(bits_per_pixel) case 32
bits_per_pixel,== 32,jpeg_compress_struct.input_components,4,CASCADE,rdbmp.c,559,start_input_bmp,switch(bits_per_pixel) case 32
